"","logFC","logCPM","F","PValue","FDR"
"SNRNP48",-0.832321208409103,3.30716225498975,0.568069686476868,0.451048755779161,1
"NFYA",0.817683069606212,3.25306438126859,0.567783339656815,0.451162876822423,1
"ZNF664",-0.639125867809715,3.75617988038659,0.567598208251571,0.451236665758526,1
"MASTL",0.584693951447788,4.06315198601304,0.566898325960729,0.451515827333583,1
"AP3D1",0.563982374580397,4.09866936826156,0.565533156361889,0.452061122644762,1
"GID8",0.652396389703122,3.97876565077629,0.564485461210103,0.452480303079621,1
"GAREM",-0.631823526933899,3.3169994978277,0.564249025501273,0.452574991652775,1
"CSNK2B",0.64305003073492,4.07247898567829,0.563812451534472,0.452749895393032,1
"C6orf62",0.561787631548731,4.19949111860882,0.563788386407336,0.452759541665772,1
"DANCR",1.00645946819258,3.22282193728362,0.563699726333415,0.452795080145469,1
"CD55",0.598755776844067,4.01271943766972,0.563493276020654,0.45287783532189,1
"SUGP2",0.852190653082549,3.34088755848309,0.563263291129085,0.452970054002334,1
"HIVEP1",0.848556177281209,3.20941800584579,0.563094964756717,0.453037582302566,1
"UBE2Z",0.644827864760021,4.092802084361,0.562711076164154,0.453191626551925,1
"SMARCA1",-0.867367804302895,3.3164072743299,0.562657744831561,0.453213024102628,1
"BBC3",0.84749143284295,3.20950670234494,0.562453154386748,0.453295167472089,1
"SLC5A3",0.821352045503711,3.34993334688356,0.561633809069733,0.453624328039336,1
"SNTB1",-0.485596944955197,3.66892388630732,0.561541769797875,0.453661343334826,1
"INCENP",0.714283476578128,3.76617564876886,0.560538462440346,0.454064966099363,1
"VPS13D",0.658663564204254,3.8806017737543,0.559587153091126,0.454448211531956,1
"TBC1D31",0.69996193138409,3.21136298224966,0.559583009952919,0.454449892121821,1
"SCYL1",0.698330349088723,3.21144200022273,0.558942790241573,0.454708097137618,1
"KMT2B",-0.677708018014937,3.69008134562059,0.558672456010309,0.454817185464639,1
"VPS26A",0.755067774029816,4.0601287428629,0.557847114160007,0.455150521988627,1
"PDHA1",0.75882279247047,3.52051224720189,0.557704357978043,0.455208208449899,1
"KAT6B",0.653846776765306,3.33493835746126,0.557160892587083,0.455427966811663,1
"SRFBP1",0.83866052076816,3.2102498213022,0.557157648586143,0.455429276022146,1
"BLVRB",0.837585498019071,3.21033856932196,0.556143600481736,0.45583974294505,1
"SNX17",-0.690446100405717,3.60216897150641,0.556025377045685,0.455887623575507,1
"OBSCN",0.947462104273678,3.07521577719699,0.555125676316546,0.456252370950565,1
"GRK6",0.857906198829292,3.19894998008717,0.5547413194025,0.45640831941226,1
"LETMD1",0.85142198841809,3.15293034465342,0.553860709883925,0.456765946093175,1
"MORC4",0.614936941122769,3.46846026164117,0.553590455453737,0.45687579772928,1
"POLR3C",0.711254184258042,3.19834912299783,0.55250274038368,0.457318305595321,1
"RAPGEF1",0.672049298370626,3.65751664613415,0.552080511450333,0.457490250260429,1
"FNDC3A",0.616581803930427,3.9030107259731,0.551848618380047,0.457584741775633,1
"DHX37",0.757510170625638,3.24684493819159,0.551768476674284,0.457617406372403,1
"AAGAB",0.578409946363886,4.06050315048716,0.550810162566606,0.458008241526406,1
"ZCCHC8",-0.876705808351568,3.31937540411484,0.549736564408127,0.458446713185506,1
"GFER",0.698416585833662,3.15786728926242,0.549564657160661,0.458516992161605,1
"C19orf48",0.849075286754503,3.19970631248836,0.549531843533988,0.458530408951703,1
"CEACAM1",0.697359299461467,3.16036721341274,0.54918324857026,0.458672964391334,1
"MAN1A1",0.636342763351236,4.00824954500909,0.548850087660197,0.458809278581417,1
