"","logFC","logCPM","F","PValue","FDR"
"SCARNA12",-0.216823399869614,7.77826116666661,0.209268090816071,0.647353877382401,1
"PRMT5",0.525196693211709,3.62012293907371,0.208645507740933,0.647843293012702,1
"ACYP2",0.126484258787778,3.11057515657404,0.207957658151388,0.648385058410116,1
"TRAF7",-0.367268383542277,3.86254709004971,0.207843836665056,0.648474804730312,1
"PDCD6IP",-0.373213613019018,3.93875777657177,0.207035772115343,0.649112842642963,1
"ATP8B1",0.361125598579105,4.26266790319621,0.206825689987467,0.649278968639674,1
"DNAJA1",-0.257975835224633,5.03439342479405,0.206767081538633,0.64932534042708,1
"PRR12",-0.430646076019212,3.46138933599712,0.206621881879808,0.649440221157791,1
"TBC1D17",-0.486280476452378,3.37777400438987,0.206328749218376,0.649672328338222,1
"MSL2",-0.562364690699192,3.29405823582951,0.2062632639964,0.649724210052132,1
"INPP5K",0.441680853978647,3.60702579661694,0.205706388535673,0.650165781299664,1
"NFIX",-0.48059479564604,3.48320724969626,0.205411674952324,0.650399769642711,1
"FTL",-0.237948187140893,5.51885157379224,0.20519180850264,0.65057447453597,1
"RANGAP1",0.312030340060511,4.51474307895033,0.205167035819178,0.650594159798606,1
"LMBRD1",0.344330496216911,3.9607145829278,0.204672197980541,0.650987763993439,1
"EGLN1",0.5517602048564,3.41298759669271,0.20454427245505,0.651089610989178,1
"EXTL3",0.407754391717199,4.11138869350882,0.204126243337163,0.651422696840702,1
"VAMP8",0.544214430765141,3.44675832204887,0.203823721367822,0.651664002507051,1
"ATN1",0.41837158221553,3.77141538964326,0.203056671578656,0.652276804217093,1
"RIT1",-0.432225654252872,3.6272491551607,0.202852168703639,0.65244041875648,1
"ST6GAL1",0.544376846498745,3.6585021178379,0.202611644095538,0.65263297926279,1
"AP2A1",-0.0620300275565793,3.51921692405119,0.202301153524389,0.652881767267055,1
"RBM6",0.562065550312285,3.22308429945261,0.202155040234227,0.652998910188352,1
"LAMB2",-0.367580379782074,3.6555775340158,0.201441991932546,0.653571350910995,1
"FAT1",0.245481445260501,5.67133073852038,0.200953308859308,0.653964387170382,1
"DLAT",0.466689877418424,3.40003143777668,0.200710541685452,0.654159830833222,1
"ELF3",0.2354940171557,5.62927984959481,0.200545545660918,0.654292770559769,1
"PPP2CA",0.328787142278938,4.35687326059495,0.20040951327921,0.654402403475834,1
"MYADM",-0.308139235574202,4.40002157872943,0.200028595663062,0.654709656400437,1
"ARHGEF12",0.322095578946557,4.54721047681146,0.199840670804676,0.654861364782207,1
"TULP3",0.531693827724747,3.58971141585633,0.199459138027817,0.655169634076362,1
"SET",0.401771763136879,4.14470843395524,0.199448228001422,0.655178454786472,1
"GGCX",0.542764320970242,3.38730890886456,0.199227197521319,0.655357211554429,1
"GBP2",0.430045606326724,3.62032089170388,0.199083063741602,0.655473838563742,1
"TPT1",0.244252720231786,5.60369019235233,0.197690070403428,0.656603667282177,1
"FTSJ2",0.53085581835811,3.46861958923673,0.197565331773732,0.656705059797781,1
"MGAT4B",-0.309563009672415,4.50242162936357,0.197436771715836,0.656809615662242,1
"NBR1",0.294381735668127,4.48165966890079,0.197303917276443,0.656917703485395,1
"KIAA1468",0.402426931159747,3.89202686576712,0.197272288164522,0.656943435140889,1
"MEGF8",-0.470565954958349,3.49838212583377,0.197236165542096,0.656972832905334,1
"FIBP",0.534522555167768,3.42927070852942,0.197064377749201,0.657112687525242,1
"MID1",-0.362041702519776,4.01279781732092,0.196671852217167,0.657432522350802,1
"SOX13",0.550380262009353,3.24154322121263,0.196307370084584,0.657729845682017,1
"FZD5",-0.518461025842701,3.36449120043531,0.196014889440319,0.657968674539414,1
"NKIRAS2",-0.385189952483643,3.78934808578193,0.195938690474987,0.658030929806617,1
"GNS",-0.323529726579832,4.45723860117706,0.195503286558658,0.658386947311816,1
"ADAM28",-0.360200626389478,3.86940726978807,0.195487754747119,0.658399653072355,1
"SNORA12",-0.359908791367664,3.93544459533751,0.195356976242373,0.658506683603507,1
"POFUT1",0.399578715722787,4.21340278040939,0.195109484921742,0.658709348278276,1
"RAC1",0.273300685517638,4.75602892565522,0.19492134083526,0.658863526902999,1
"GLA",-0.431050750114297,3.67796905732266,0.194565046882743,0.659155716413163,1
"ACTR2",0.281003542329015,4.83030620320091,0.194272321946803,0.659396033968159,1
"NOP14",0.352036813829452,3.85551766355544,0.193944038006557,0.659665780940811,1
"SULF2",-0.37906786757659,3.93769734394007,0.193525741485363,0.660009896563677,1
"FBXW11",0.3737003247272,3.80712609740416,0.193494645382166,0.660035494130992,1
"COX6B1",-0.30817853645152,4.21416951182693,0.193337431408596,0.660164961510906,1
"BTBD1",0.308130887998471,4.24212876758719,0.193320136234933,0.660179207264377,1
"FAM117B",-0.372572968430337,3.70881632408876,0.193277947435731,0.660213953571176,1
"CANX",-0.216344112888604,6.98308080211464,0.19250947848513,0.66084779696775,1
"TRAM2",0.525422059234563,3.4615656413878,0.19202256899556,0.661250167890236,1
"ZCCHC8",0.555624683745958,3.31937540411484,0.191814447658609,0.661422344208446,1
"PLOD2",0.264448361161492,4.68140768936887,0.19076303534221,0.662293885908958,1
"RNPEPL1",0.542062224863087,3.22224413367379,0.190478349954592,0.662530349121902,1
"USP31",-0.402013207341873,3.90672733887774,0.190222392586485,0.662743140118967,1
"ETS2",-0.406059617232769,3.82875001270193,0.190133598808226,0.662816996665021,1
"SEC61A1",-0.235246024065778,5.32838433351869,0.189638121400426,0.663229518676774,1
"PICALM",0.323841226555372,4.19099199015726,0.189474228704607,0.663366101748676,1
"WDR11",0.0476889419865986,3.11819006867045,0.189187857873589,0.663604940387525,1
"HNRNPA2B1",0.227189035069298,6.41393938587848,0.189158835214435,0.66362916150169,1
"CHID1",0.434748476790565,3.46268757796157,0.188709733713074,0.664004165180268,1
"NRIP1",0.398111793510363,3.8486152587318,0.187776471251454,0.664785187186314,1
"SNORD36A",-0.207755200581881,7.60382308743147,0.187698324669083,0.664850701446219,1
"HNRNPA0",-0.297512511056517,4.29072496648436,0.1874760787567,0.665037072852073,1
"ARHGAP5",0.34266740211324,4.30118831175157,0.187365137377664,0.665130153849178,1
"GOLGA5",-0.336319549447499,3.45257211768624,0.186944488432573,0.665483390073784,1
"HCFC1",0.441335043909458,3.44259981060357,0.186927507560215,0.665497656941148,1
"CCDC47",0.265765105392448,4.74650778027133,0.18671351699574,0.665677561051424,1
"CXCL16",-0.533657382718114,3.31174389672308,0.18669933817109,0.665689474148591,1
"C6orf48",-0.440030419653447,3.56908849649793,0.186640697547033,0.665738793543281,1
"NR3C1",-0.362115882693529,3.85811522637649,0.186483468397054,0.665871077895565,1
"RNVU1-7",0.273584644509309,4.74467266140073,0.186170250743593,0.666134803994465,1
"PDXDC2P",0.0309573278607786,3.1521054400461,0.185381011417671,0.66680048451287,1
"LMNA",-0.377636937805277,3.97070662359049,0.185256781242977,0.66690541398578,1
"CTNNBL1",0.348680767790866,3.8328045688766,0.185014449374462,0.667110224142721,1
"PLBD1",0.391040010709851,3.85175232196199,0.183836919576703,0.668107709441557,1
"TWF2",-0.489935715668461,3.27433750372345,0.183730869633828,0.668197725481544,1
"CTNNA1",0.230498161575872,5.49541797469546,0.183654081612723,0.668262941464083,1
"DCTN2",-0.425764570296251,3.51579260227082,0.183492439930378,0.668400227990342,1
"PHF20L1",-0.388104833750192,3.92108025688633,0.183334299492467,0.668534632682885,1
"P4HB",0.219871103273976,5.93446044590861,0.182939516218917,0.668870453503118,1
"FERMT2",0.425901631279397,3.47359776768611,0.18291406341452,0.668892102653185,1
"ZFAND6",0.352240045947064,3.98962608375016,0.182509297574022,0.669236885006123,1
"AVL9",-0.359889975591272,4.02919789149868,0.181782645862811,0.669856979959605,1
"VASN",-0.452773417786109,3.49755425330351,0.181714616209422,0.669915104702426,1
"VCPIP1",0.515095751825425,3.41794379789158,0.181195096167591,0.670359437370982,1
"SMIM15",-0.329580480555372,4.13108074183332,0.18070231929445,0.670781595855417,1
"TOR3A",0.41065268818403,3.51359469242875,0.180385644360792,0.671053240901166,1
"MYO5A",-0.457621492310457,3.38083925425186,0.180346435202833,0.671086893304095,1
"RNF181",-0.483883276513133,3.2755666719742,0.179906082067262,0.671465153863315,1
"ANXA5",-0.230846016883992,5.53513028799174,0.179286613114753,0.671998214420954,1
"ATP6AP2",-0.320271880155081,4.27497507651035,0.179256990691444,0.672023724089208,1
"UBR3",0.347408122655134,3.95283324882461,0.178935966068343,0.672300413320738,1
"RBBP7",-0.328789944135651,4.15378595756585,0.178927574906671,0.672307651932175,1
"RPAP3",0.498240233410922,3.41374370617719,0.178621242615355,0.672571958554625,1
"EPN1",-0.453043664546552,3.37862471989177,0.17838436099982,0.672776525077838,1
"RPS6KA2",-0.540386392364903,3.31309031986536,0.17821594783218,0.672922065677842,1
"MPRIP",-0.442799854214906,3.5122633206901,0.178213482486886,0.67292419373588,1
"RNF20",-0.452841410932903,3.37528788722113,0.178143244243457,0.672984915788235,1
"SECISBP2L",-0.424119453018572,3.58587246376596,0.177814916415751,0.67326895007248,1
"NRP1",-0.333545283962309,4.12199410441437,0.177669391511688,0.673394943844453,1
"PARL",-0.421672613542918,3.25319804686883,0.177608107264058,0.673448013122686,1
"CTR9",0.0474841390694008,3.58415891403313,0.177278887790418,0.673733336182898,1
"CLCC1",0.49573472647324,3.43472662467148,0.177192748058356,0.673808029712658,1
"TMEM65",-0.446681434094186,3.37274412937588,0.177168697670667,0.673828886403186,1
"PPP4R2",0.506955170152716,3.53459767016494,0.176919329269148,0.674045286474286,1
"SNORA49",-0.212682694668961,6.02612857586057,0.176289968539682,0.674592240369511,1
"PMPCB",-0.536367809969588,3.3439699323786,0.176105721341347,0.674752564201401,1
"CCT7",0.293844935440109,4.34228423242067,0.175872292937719,0.67495584806689,1
"SPINT1",0.381514992069104,3.59647706825753,0.175532464242372,0.675252060837995,1
"FAM217B",0.415317173750398,3.57035973827486,0.17509986375682,0.675629627089195,1
"CALR",0.243124109250164,5.27833975408772,0.174608786102784,0.676058915865549,1
"FYN",0.471724364730182,3.62514824374516,0.174341229285913,0.67629309110702,1
"TMEM43",0.482942560225431,3.57008640046274,0.173948321436521,0.6766373718383,1
"BCAR1",0.327121075273481,3.94191298740297,0.173538332423577,0.676997106593762,1
"TXNDC15",0.0640221682191958,3.55521020049416,0.173449672665151,0.67707497183315,1
"PNRC1",-0.416240733167791,3.52416269415994,0.173153891065591,0.677334875521474,1
"TOR1AIP1",-0.379693470079686,3.64702899917847,0.1720605172636,0.678297930906981,1
"GJA1",-0.459863112477724,3.35625741149839,0.171845689031636,0.678487575019035,1
"TNFRSF12A",-0.311972818137781,4.10605997850628,0.171802955148693,0.678525321468214,1
"PEX19",-0.412923060078821,3.25243872395267,0.171567965004152,0.678732945395129,1
"ANKLE2",-0.274472239205874,4.44439118430146,0.171047728851526,0.6791932194822,1
"DDX5",0.262642716589232,4.81714780330205,0.170900814990766,0.67932334580407,1
"ABLIM1",-0.349412136777284,4.10907438550694,0.170532780289851,0.679649608124694,1
"PIK3R1",0.185221046309406,4.00103091182902,0.170134453298728,0.68000319769717,1
"TTI1",0.39524450462257,3.6267894181834,0.169992643475336,0.680129184848112,1
"BTN3A2",0.497535144058796,3.40128987923216,0.169970688269652,0.680148701116088,1
"SNORD114-22",-0.19729150322406,7.49416653809607,0.169587635631219,0.680489388530552,1
"RRP15",0.504488869432026,3.22814420277804,0.16884314967065,0.681152792304151,1
"TMED2",-0.246202651279322,4.85907055886379,0.168727675512428,0.681255853413367,1
"PTPRZ1",-0.502423279491269,3.29228533842766,0.168712666609255,0.681269240125155,1
"AREG",-0.229135790369872,5.11075640171298,0.166880314910834,0.682910126229886,1
"MAT2B",0.0977777315052662,3.63252592228907,0.16681163830182,0.6829718289365,1
"ATP2A2",0.211158571165627,5.99550794449126,0.166664991495235,0.683103638802836,1
"SUPT7L",-0.397767054899498,3.65115517278967,0.166469589826485,0.683279359412958,1
"JKAMP",0.48383513067583,3.39450550050689,0.166172947692852,0.683546377175552,1
"OS9",-0.245149683455379,4.72643648241601,0.16604335959381,0.683663118940256,1
"ACTB",0.206421946285042,6.49085851614738,0.165515841269371,0.684138856904745,1
"PARG",-0.441598904095267,3.39605687911163,0.165419968209729,0.684225400816596,1
"ASB6",0.498221587320121,3.21076190049366,0.164900169255199,0.684695201853945,1
"TTLL12",0.488662591007452,3.39965011855474,0.164811387537185,0.684775529063866,1
